"Date","Tname","Tno","Avail_Classes","Fare","Timing","Seats"
"1","Howra Puri SF Express","12837","2S","690","Dep- 22:40,Arr-07:10","230"
"1","Satabdi Express","12277","CC","729","Dep- 14:15,Arr-21:50","149"
"2","Jagannath Express","18409","1A","950","Dep- 19:05,Arr-09:25","98"
"2","Puri Garib Rath","12881","2S","280","Dep- 19:05,Arr-08:25","348"
"3","Howra Puri SF Express","12837","1A","820","Dep- 22:40,Arr-07:10","159"
"3","Satabdi Express","12277","SL","749","Dep- 14:15,Arr-21:50","120"
"4","Satabdi Express","12277","SL","749","Dep- 14:15,Arr-21:50","78"
"4","Jagannath Express","18409","SL","570","Dep- 19:05,Arr-09:25","82"
"5","Howra Puri SF Express","12837","SL","720","Dep- 22:40,Arr-07:10","76"
"5","Satabdi Express","12277","2S","360","Dep- 14:15,Arr-21:50","29"
